t,train_error,test_error
454,0.49995485795612815,0.2745051141883482
455,0.49996141735063465,0.8585071792189015
456,0.49997592910310484,0.12813764049373472
457,0.4999877161223917,0.8308773341998879
458,0.4999865651411533,0.36488598639972497
459,0.4999884135620213,0.6239470320813011
460,0.499988468791966,0.34989468113218336
461,0.4999885532285335,0.638938643216722
462,0.49998862238481506,0.34989466455188734
463,0.4999886911232794,0.6389386651090168
464,0.499988758667262,0.3265476022425719
465,0.49998882736154626,0.6622859333568142
466,0.49998889186305395,0.3648859957072025
467,0.49998260013014695,0.8585073789770992
468,0.49997676796355317,0.12813771133791851
469,0.4999869363517162,0.6834588446366086
470,0.49993915735931954,0.7468930594045557
471,0.4999474077204915,0.12813791730226792
472,0.4999875632718084,0.8213952193638017
473,0.49998744959573255,0.3207797724495418
474,0.4999891772478781,0.6680539793173284
475,0.49996927703273225,0.8375068989336066
476,0.4999627008433283,0.12813782580066044
477,0.49998925970445685,0.8457046557764307
478,0.49998841135551075,0.3059532896451195
479,0.49998941726574886,0.6828801789468288
480,0.499956707817981,0.43515612988970936
481,0.49995071548398473,0.610987388290896
482,0.4999757862172774,0.12813819343488903
483,0.4999886821148523,0.7008126713658391
484,0.49998850199704403,0.4944047712997091
485,0.49998953877477176,0.4944284308505985
486,0.49998939797378233,0.34163848306646316
487,0.4999896660154138,0.6471945947865649
488,0.499989728441801,0.3416385137021266
489,0.4999897904910736,0.6471945546011322
490,0.49998985216550945,0.34163855034423324
491,0.4999899134673733,0.6471945148980711
492,0.4999899743989159,0.34163858654668466
493,0.49999003496237404,0.6471944756716113
494,0.4999678820949027,0.8375072258961975
495,0.4999658566152396,0.12813806508958792
496,0.49998852773511426,0.6726293763983742
497,0.49998429493865565,0.8585068349637708
498,0.49997929350798503,0.1281381488042279
499,0.49998846676190256,0.5297037269537597
500,0.49998922079579095,0.6471948112440165
