model,n_iter,train_error,test_error
Batch Gradient Descent,153,627.0071554571435,627.2064801326244
Batch Gradient Descent,154,623.918722237725,624.1752118291988
Batch Gradient Descent,155,620.8469659393515,621.1604882993528
Batch Gradient Descent,156,617.7917964950619,618.1622197095716
Batch Gradient Descent,157,614.7531243243188,615.1803167127999
Batch Gradient Descent,158,611.7308603303828,612.2146904458108
Batch Gradient Descent,159,608.7249158976986,609.2652525265889
Batch Gradient Descent,160,605.7352028892967,606.3319150517289
Batch Gradient Descent,161,602.761633644209,603.4145905938465
Batch Gradient Descent,162,599.8041209748974,600.5131921990051
Batch Gradient Descent,163,596.8625781646973,597.6276333841538
Batch Gradient Descent,164,593.936918965275,594.7578281345823
Batch Gradient Descent,165,591.0270575940974,591.9036909013878
Batch Gradient Descent,166,588.1329087319172,589.0651365989553
Batch Gradient Descent,167,585.2543875202703,586.2420806024526
Batch Gradient Descent,168,582.3914095589876,583.4344387453381
Batch Gradient Descent,169,579.5438909037199,580.6421273168828
Batch Gradient Descent,170,576.7117480634755,577.8650630597049
Batch Gradient Descent,171,573.8948979981732,575.1031631673173
Batch Gradient Descent,172,571.0932581162049,572.3563452816909
Batch Gradient Descent,173,568.3067462720159,569.6245274908271
Batch Gradient Descent,174,565.535280763694,566.9076283263471
Batch Gradient Descent,175,562.7787803305749,564.2055667610925
Batch Gradient Descent,176,560.0371641508581,561.5182622067385
Batch Gradient Descent,177,557.3103518392372,558.8456345114208
Batch Gradient Descent,178,554.5982634445426,556.1876039573756
Batch Gradient Descent,179,551.9008194473967,553.5440912585908
Batch Gradient Descent,180,549.2179407578822,550.9150175584722
Batch Gradient Descent,181,546.5495487132223,548.3003044275199
Batch Gradient Descent,182,543.8955650754739,545.6998738610196
Batch Gradient Descent,183,541.2559120292336,543.1136482767439
Batch Gradient Descent,184,538.6305121793554,540.5415505126684
Batch Gradient Descent,185,536.0192885486811,537.9835038246985
Batch Gradient Descent,186,533.4221645757824,535.4394318844091
Batch Gradient Descent,187,530.8390641127166,532.9092587767965
Batch Gradient Descent,188,528.2699114227929,530.3929089980428
Batch Gradient Descent,189,525.7146311783509,527.8903074532915
Batch Gradient Descent,190,523.1731484585531,525.4013794544354
Batch Gradient Descent,191,520.6453887471856,522.9260507179176
Batch Gradient Descent,192,518.131277930475,520.4642473625424
Batch Gradient Descent,193,515.6307422949131,518.0158959073001
Batch Gradient Descent,194,513.143708525097,515.5809232692018
Batch Gradient Descent,195,510.6701037015772,513.1592567611264
Batch Gradient Descent,196,508.20985529872036,510.7508240896809
Batch Gradient Descent,197,505.76289118258217,508.35555335306924
Batch Gradient Descent,198,503.3291396087922,505.97337303897524
Batch Gradient Descent,199,500.908529220449,503.60421202245544
Batch Gradient Descent,200,498.50098904602885,501.2479995638446
Batch Gradient Descent,201,496.1064484973031,498.9046653066709
Batch Gradient Descent,202,493.7248373672693,496.574139275584
Batch Gradient Descent,203,491.35608582809147,494.2563518742939
Batch Gradient Descent,204,489.0001244290524,491.9512338835193
Batch Gradient Descent,205,486.65688409451764,489.6587164589499
Batch Gradient Descent,206,484.32629612190914,487.3787311292176
Batch Gradient Descent,207,482.00829217969056,485.11120979387937
Batch Gradient Descent,208,479.7028043053636,482.8560847214105
Batch Gradient Descent,209,477.40976490347475,480.61328854720983
Batch Gradient Descent,210,475.1291067436333,478.3827542716148
Batch Gradient Descent,211,472.8607629585393,476.16441525792754
Batch Gradient Descent,212,470.6046670420231,473.95820523045126
Batch Gradient Descent,213,468.3607528470942,471.7640582725382
Batch Gradient Descent,214,466.1289545840028,469.58190882464675
Batch Gradient Descent,215,463.90920681830846,467.4116916824103
Batch Gradient Descent,216,461.70144446896364,465.2533419947164
Batch Gradient Descent,217,459.505602806403,463.10679526179496
Batch Gradient Descent,218,457.3216174506459,460.97198733331896
Batch Gradient Descent,219,455.149424369409,458.84885440651334
Batch Gradient Descent,220,452.9889598762278,456.7373330242753
Batch Gradient Descent,221,450.84016062858893,454.63736007330476
Batch Gradient Descent,222,448.70296362607263,452.5488727822441
Batch Gradient Descent,223,446.57730620850595,450.47180871982897
Batch Gradient Descent,224,444.4631260541238,448.406105793049
Batch Gradient Descent,225,442.3603611777425,446.3517022453166
Batch Gradient Descent,226,440.2689499289415,444.30853665464844
Batch Gradient Descent,227,438.1888309902557,442.27654793185536
Batch Gradient Descent,228,436.1199433753768,440.2556753187417
Batch Gradient Descent,229,434.0622264273647,438.2458583863151
Batch Gradient Descent,230,432.0156198168701,436.24703703300554
Batch Gradient Descent,231,429.9800635403634,434.25915148289386
Batch Gradient Descent,232,427.95549791837624,432.2821422839515
Batch Gradient Descent,233,425.9418635937508,430.31595030628625
Batch Gradient Descent,234,423.9391015298994,428.3605167404015
Batch Gradient Descent,235,421.9471530090733,426.4157830954625
Batch Gradient Descent,236,419.9659596306402,424.48169119757193
Batch Gradient Descent,237,417.9954633093722,422.5581831880561
Batch Gradient Descent,238,416.0356062737417,420.6452015217596
Batch Gradient Descent,239,414.08633106422843,418.7426889653488
